279131	279131
102594	102594
118406	118406
283407	283407
96398	96398
171797	171797
212512	212512
103017	103017
557351	557351
206854	206854
314314	314314
164658	164658
1396959	1396959
512484	512484
176705	176705
130232	130232
87384	87384
413452	413452
1874992	1874992
2181019	2181019
161393	161393
102967	102967
2205068	2205068
2167615	2167615
128650	128650
147069	147069
2271816	2271816
299248	299248
338355	338355
198747	198747
367328	367328
121865	121865
339852	339852
174507	174507
152186	152186
830194	830194
101609	101609
132666	132666
163077	163077
1695318	1695318
215780	215780
114053	114053
104754	104754
128424	128424
1029773	1029773
590193	590193
60734	60734
204508	204508
4458886	4458886
260692	260692
141524	141524
2052761	2052761
366649	366649
215540	215540
134636	134636
299980	299980
273921	273921
1774093	1774093
86654	86654
139737	139737
2091976	2091976
128595	128595
104604	104604
145588	145588
150475	150475
196554	196554
3209703	3209703
142453	142453
2801616	2801616
395200	395200
130835	130835
159789	159789
152869	152869
2413674	2413674
291377	291377
137336	137336
396215	396215
438890	438890
133671	133671
73604	73604
116364	116364
91126	91126
1880379	1880379
148307	148307
204374	204374
1242521	1242521
146876	146876
123141	123141
98773	98773
159024	159024
116039	116039
1805805	1805805
440793	440793
1301883	1301883
68873	68873
1598803	1598803
1958778	1958778
175320	175320
78301	78301
195885	195885
134343	134343
130705	130705
122716	122716
4291593	4291593
188161	188161
161959	161959
84063	84063
112059	112059
2809289	2809289
70819	70819
92003	92003
109106	109106
180822	180822
110352	110352
496191	496191
228916	228916
146679	146679
97800	97800
426321	426321
71443	71443
2002919	2002919
416947	416947
108979	108979
103377	103377
112305	112305
376558	376558
137672	137672
1039801	1039801
96777	96777
529773	529773
538527	538527
96682	96682
108491	108491
82808	82808
142138	142138
197826	197826
88187	88187
116167	116167
1527250	1527250
194425	194425
224340	224340
192860	192860
419321	419321
3021136	3021136
4453084	4453084
1234435	1234435
302624	302624
262578	262578
230554	230554
5903339	5903339
4063746	4063746
3182021	3182021
215856	215856
58520	58520
161854	161854
5958065	5958065
137943	137943
133852	133852
1445654	1445654
217675	217675
112718	112718
3550924	3550924
179777	179777
134360	134360
90540	90540
74918	74918
180574	180574
1691315	1691315
117674	117674
342952	342952
189890	189890
85505	85505
109429	109429
208853	208853
98424	98424
97804	97804
1684951	1684951
172844	172844
101531	101531
198372	198372
81751	81751
158834	158834
83444	83444
142928	142928
115936	115936
1492027	1492027
179866	179866
182673	182673
61414	61414
149033	149033
122330	122330
2320254	2320254
245617	245617
2138761	2138761
279080	279080
112621	112621
4222623	4222623
1685284	1685284
355721	355721
175837	175837
