3	14	0
4	15	0
2	85	0
1	4	1
3	12	0
2	7	0
6	14	0
7	70	0
1	4	0
1	4	0
1	5	0
2	8	1
3	3	0
4	15	0
5	26	0
3	6	1
9	74	0
1	4	0
1	4	0
4	13	0
3	11	0
3	15	0
2	16	1
2	36	0
18	134	0
2	0	0
2	8	1
2	6	0
1	4	0
1	4	0
4	9	0
2	6	1
2	8	0
3	6	0
2	7	0
1	4	0
2	5	0
1	4	1
3	7	0
5	12	0
3	29	0
2	21	0
1	4	0
1	2	0
1	9	0
3	12	0
14	66	0
1	4	1
2	8	0
3	12	0
1	4	0
1	4	0
2	4	0
1	4	1
1	15	0
10	41	0
1	4	0
4	18	0
8	28	0
2	8	0
2	3	1
2	13	0
2	26	1
6	24	0
2	8	0
2	8	0
2	8	0
1	4	0
3	9	0
1	4	0
1	1	1
3	17	0
2	9	0
31	33	0
2	9	0
11	61	0
3	1	0
1	4	0
2	8	0
2	0	0
2	1	0
1	4	0
1	11	0
2	6	1
2	7	0
2	8	0
2	31	0
8	25	0
6	32	0
2	0	0
2	11	0
13	24	0
1	4	0
2	8	1
4	12	0
6	29	0
2	8	0
2	4	1
3	0	0
1	4	0
8	14	0
3	10	0
7	40	0
1	12	0
1	0	1
5	29	0
4	26	1
1	4	0
0	60	0
2	8	0
1	24	0
6	14	0
3	14	0
1	0	0
6	26	0
5	7	0
1	0	0
7	27	0
2	5	1
1	1	0
12	36	0
1	13	0
8	24	0
1	4	0
1	4	0
2	4	0
3	13	1
13	54	0
2	0	0
1	11	0
1	0	0
3	12	0
2	14	0
3	25	0
11	43	0
1	23	0
17	170	0
9	27	0
5	16	0
5	39	0
1	4	0
1	5	0
2	4	0
2	8	0
2	20	0
1	4	1
2	8	0
7	28	0
2	1	0
2	8	0
7	29	0
1	0	0
7	24	0
2	1	0
1	4	0
4	20	0
5	9	1
1	1	1
1	4	0
1	4	0
1	4	0
1	4	0
4	24	1
1	4	0
15	25	0
1	4	1
4	15	1
1	4	0
1	7	0
3	12	0
3	25	0
1	4	0
7	38	0
3	8	0
3	8	0
1	4	0
2	7	0
2	7	0
1	4	0
1	5	0
2	9	0
2	6	1
2	2	0
11	49	0
2	8	0
3	27	0
3	12	0
1	13	1
8	41	0
1	4	0
6	126	0
1	4	0
2	5	0
6	34	0
1	4	0
1	8	0
1	4	0
10	32	0
1	4	0
1	16	1
1	4	0
1	4	0
3	6	0
1	1	0
3	9	0
5	22	0
1	4	0
2	12	0
3	12	1
3	24	0
